label,text
ham,"Hey, are we still meeting for lunch today?"
ham,Please find attached the report for Q3.
ham,Let me know when you are available for a quick call.
ham,I will be late to the meeting by 10 minutes.
ham,Can you review the pull request I sent?
ham,The project deadline has been extended to next Friday.
ham,Happy birthday! Hope you have a great day.
ham,Thanks for your help with the presentation.
ham,Where did you save the new design assets?
ham,"I am heading out for the day, see you tomorrow!"
spam,CONGRATULATIONS! You have won a $1000 Walmart gift card. Click here to claim now!
spam,Urgent! Your account has been suspended. Please log in immediately to verify your identity.
spam,Enlarge your ... and boost your confidence by 500% with these new pills!
spam,You have been selected for a free vacation to the Bahamas. Reply to this email.
spam,Earn $5000 a week working from home! No experience needed.
spam,Your invoice #84992 is overdue. Please pay immediately or face legal action.
spam,Meet hot singles in your area tonight! Click here to chat.
spam,Invest in this new cryptocurrency and double your money in 24 hours!
spam,Exclusive offer for our lucky customers: 90% off all luxury watches!
spam,"Claim your inheritance of $10,000,000 from a distant relative in Nigeria."
